player_sum,dealer,usable,tc_bucket,action,q
12,6,0,12,0,-0.20187992007484154
12,6,0,12,1,-0.22174545772294763
12,6,0,11,0,-0.04619275128255468
12,6,0,11,1,-0.23042201913512025
21,10,0,12,0,0.899508116841785
21,10,0,12,1,-0.7095115056900362
12,10,0,12,0,-0.5038729320472733
12,10,0,12,1,-0.47830783700267515
26,10,0,12,0,0.0
26,10,0,12,1,0.0
14,10,0,14,0,-0.5677846954528329
14,10,0,14,1,-0.45645650921576203
8,10,0,13,0,-0.3213680973556884
8,10,0,13,1,-0.28742210543903907
14,10,0,13,0,-0.6158436998547414
14,10,0,13,1,-0.5241917011135925
21,1,1,11,0,0.5074749452495962
21,1,1,11,1,0.002340545942616524
19,10,0,11,0,-0.03193028585057525
19,10,0,11,1,-0.6340946790920057
16,10,0,10,0,-0.6759457839028105
16,10,0,10,1,-0.6315437856073116
23,8,0,10,0,0.0
23,8,0,10,1,0.0
20,8,0,10,0,0.8274566139009909
20,8,0,10,1,-0.78451303428976
7,9,0,12,0,-0.1638573856701614
7,9,0,12,1,-0.15460075061292414
20,2,0,11,0,0.6714931858924746
20,2,0,11,1,-0.6807040481577529
13,4,0,14,0,-0.07157613713469478
13,4,0,14,1,-0.23171501989551857
13,4,0,13,0,-0.13365579614902698
13,4,0,13,1,-0.25311795305945844
12,5,0,17,0,-0.010857326720743429
12,5,0,17,1,-0.10353145607249778
12,10,0,14,0,-0.5580425482762877
12,10,0,14,1,-0.3748948251196896
21,10,1,15,0,0.8595270278816872
21,10,1,15,1,0.020563142589395962
13,10,0,16,0,-0.5338766566480947
13,10,0,16,1,-0.5223973098560825
6,10,0,15,0,-0.22863820898506024
6,10,0,15,1,-0.2314884832216965
15,1,0,15,0,-0.44851485622177256
15,1,0,15,1,-0.4454258976696532
13,9,0,14,0,-0.41130739227824104
13,9,0,14,1,-0.39506306201253677
13,9,0,16,0,-0.3328981862583745
13,9,0,16,1,-0.3237138273753748
18,2,0,13,0,0.17592320885307608
18,2,0,13,1,-0.3149460235439297
18,2,0,15,0,-0.015984448440124165
18,2,0,15,1,-0.18861082638439566
27,10,0,7,0,0.0
27,10,0,7,1,0.0
17,10,0,10,0,-0.45587080616560316
17,10,0,10,1,-0.6599691357722126
20,9,0,7,0,0.7602881990420843
20,9,0,7,1,-0.6399550775508601
12,9,0,7,0,-0.3828654976171203
12,9,0,7,1,-0.2225821367411144
20,9,0,13,0,0.7833032364318512
20,9,0,13,1,-0.42004179042924117
11,5,0,20,0,0.04746667793718436
11,5,0,20,1,0.22420081758169966
19,8,0,10,0,0.552712404047612
19,8,0,10,1,-0.6791165124091048
15,8,0,10,0,-0.5448414322091925
15,8,0,10,1,-0.39585563007652896
14,9,0,9,0,-0.47313236396770925
14,9,0,9,1,-0.43468142744335064
14,9,0,10,0,-0.565427739220574
14,9,0,10,1,-0.4251542672603812
14,5,0,10,0,-0.06775113004313546
14,5,0,10,1,-0.401567801794411
13,5,0,10,0,-0.24557040081978737
13,5,0,10,1,-0.3474426447966178
19,5,0,10,0,0.479330322433665
19,5,0,10,1,-0.5707296802924022
21,5,0,11,0,0.7827269178238273
21,5,0,11,1,-0.39499393286246337
31,5,0,10,0,0.0
31,5,0,10,1,0.0
15,10,0,11,0,-0.6558902508356382
15,10,0,11,1,-0.551400027853639
12,10,0,10,0,-0.5303744064595712
12,10,0,10,1,-0.4077398580841823
13,10,0,10,0,-0.6112826104841548
13,10,0,10,1,-0.43374646083026897
13,10,0,11,0,-0.6545470525246009
13,10,0,11,1,-0.48913570300198633
12,10,0,7,0,-0.5828861050523247
12,10,0,7,1,-0.3355145605671819
21,10,1,8,0,0.8959801144917919
21,10,1,8,1,0.04385846014053221
22,10,0,7,0,0.0
22,10,0,7,1,0.0
20,10,0,6,0,0.45217131041518505
20,10,0,6,1,-0.8489072510558366
10,10,0,7,0,-0.36273512844430167
10,10,0,7,1,-0.06854152964973192
21,10,0,6,0,0.935033512462435
21,10,0,6,1,-0.7292457404880058
18,7,0,7,0,0.3129773645451654
